C_imb,tau,snowball_num,end_time,LIP_volume_end,t_max_used
6.915767715500878,0.3859071504438534,1,3.0199999999999796,0.0,11.09987192903179
7.34723332966277,0.3859071504438534,1,3.00999999999998,0.0,11.123226969540475
7.805617513658469,0.3859071504438534,1,3.00999999999998,0.0,11.14658201004916
8.292599681508731,0.3859071504438534,1,3.00999999999998,0.0,11.169937050557845
8.809964023657075,0.3859071504438534,1,2.99999999999998,0.0,11.19329209106653
9.359606043832427,0.3859071504438534,1,3.00999999999998,0.0,11.216647131575215
9.943539503737975,0.3859071504438534,1,3.00999999999998,0.0,11.2400021720839
10.563903801010007,0.3859071504438534,1,2.99999999999998,0.0,11.263357212592584
11.222971807477869,0.3859071504438534,1,2.9899999999999802,0.0,11.28671225310127
11.923158196442536,0.3859071504438534,1,3.00999999999998,0.0,11.310067293609954
12.66702828948324,0.3859071504438534,1,2.99999999999998,0.0,11.33342233411864
13.457307455204475,0.3859071504438534,1,3.0199999999999796,0.0,11.356777374627324
14.296891094358662,0.3859071504438534,1,3.00999999999998,0.0,11.38013241513601
15.18885524792716,0.3859071504438534,1,2.99999999999998,0.0,11.403487455644695
16.136467867025715,0.3859071504438534,1,3.0199999999999796,0.0,11.42684249615338
17.14320078592416,0.3859071504438534,1,3.00999999999998,0.0,11.450197536662065
18.212742442047258,0.3859071504438534,1,3.0199999999999796,0.0,11.47355257717075
19.349011389559337,0.3859071504438534,1,3.039999999999979,0.0,11.496907617679435
20.55617065604391,0.3859071504438534,1,3.0299999999999794,0.0,11.52026265818812
21.838642994877258,0.3859071504438534,1,3.049999999999979,0.0,11.543617698696805
23.201127089177795,0.3859071504438534,1,3.0299999999999794,0.0,11.56697273920549
24.648614766698078,0.3859071504438534,1,3.0599999999999787,0.0,11.590327779714174
26.186409288731575,0.3859071504438534,1,3.0799999999999783,0.0,11.61368282022286
27.820144780039765,0.3859071504438534,1,3.0599999999999787,0.0,11.637037860731544
29.555806870987155,0.3859071504438534,1,3.089999999999978,0.0,11.660392901240229
31.399754627511395,0.3859071504438534,1,3.1099999999999777,0.0,11.683747941748916
33.358743849275704,0.3859071504438534,1,3.139999999999977,0.0,11.707102982257599
35.43995182136195,0.3859071504438534,1,3.1199999999999775,0.0,11.730458022766285
37.65100361018916,0.3859071504438534,1,3.149999999999977,0.0,11.75381306327497
39.99999999999999,0.3859071504438534,1,3.179999999999976,0.0,11.777168103783655
0.1,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.10623886793066824,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.11286697059189969,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.11990859182447447,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.1273895305059275,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.13533719507169065,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.14378070393328427,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.15275099216146698,0.4128639534747324,0,10.009999999999831,0.0,10.0
0.1622809248252063,0.4128639534747324,0,10.009999999999831,0.0,10.0
